name,role,url,photo
Barak Cohen,Alvin Goldfarb Distinguished Professor of Computational Biology,http://genetics.wustl.edu/staff-members/barak-cohen/,barak.jpg
Mike White,Associate Professor,http://genetics.wustl.edu/mwhite/,mikew.jpg
Yuning Zhang,Postdoctoral Fellow,,yuning.jpg
Yawei Wu,Graduate Student,https://dbbs.wustl.edu/people/yawei-wu/,yawei.jpg
Emma Bartley-Dier,Graduate Student,https://dbbs.wustl.edu/people/emma-bartley-dier/,emma.jpg
Jiayu Huang,Masters Student,,jiayu.jpg
Jie Li,Technician,,jie_new.jpg
Michael Wilkinson,Technician,,michael.jpg
Daniel Lyon,Postbaccalaureate Student,,daniel.jpg
Zara Shariff,Undergraduate Student,,zara.jpg
Xilin Hou,Graduate Student,https://dbbs.wustl.edu/people/xilin-hou/,xilin.jpg
Nikita Gupta,Graduate Student,https://dbbs.wustl.edu/people/nikita-gupta/,nikita.jpg

