name,role,url,photo
Avi Ramu,Graduate Student,https://verily.com/,avi.jpg
Brett Maricque,Graduate Student,https://www.genome.wustl.edu/people/brett-maricque/,brett.jpg
Chris Fiore,Graduate Student,,chris.jpg
Christina Chen,Graduate Student,,christina.jpg
Clarice Hong,Graduate Student,https://www.ashansenlab.com/team.html,clarice.jpg
Dana King,Graduate Student,https://brcf.medicine.umich.edu/staff-member/dana-king-ph-d/,dana.jpg
Desikan,Technician,,desikan.jpg
Devjanee Swain-Lenz,Staff Scientist,,devjanee.jpg
Dustin Baldridge,Assistant Professor,https://dustinbaldridgelab.wustl.edu/,dustin.jpg
Eddie Ramirez,Postbaccalaureate Student,,eddie.jpg
Hemangi Chaudhari,Graduate Student,,hemangi.jpg
Ilaria Mogno,Postdoctoral Fellow,https://icahn.mssm.edu/profiles/ilaria-mogno,ilaria.jpg
James Shepherdson,Graduate Student (MSTP),https://mstp.wustl.edu/people/james-shepherdson/,james.jpg
Jamie Kwasnieski,Graduate Student,https://www.dynotx.com/team/,jamie.jpg
Jason Gertz,Graduate Student,https://uofuhealth.utah.edu/huntsman/labs/gertz/,jay.jpg
Jeff Hansen,Graduate Student (MSTP),https://mstp.wustl.edu/students/Pages/student_bio.aspx?SID=7260,jeff.jpg
Josh Witten,Graduate Student,https://www.scgssm.org/faculty-staff/dr-josh-witten,josh.jpg
Justin Gerke,Graduate Student,,justin.jpg
Kai Loell,Graduate Student,https://kinneylab.labsites.cshl.edu/people/,kai.jpg
Kimberly Lorenz,Graduate Student,,kim.jpg
Lauren Chircus,Undergraduate Student,,lauren.jpg
Linda Riles,Volunteer,,linda.jpg
Marc Sherman,Graduate Student (MSTP),https://connects.catalyst.harvard.edu/Profiles/display/Person/149030,marc.jpg
Margie Andersohn,Administrative Assistant,,margie.jpg
Max Staller,Postdoctoral Fellow,https://www.stallerlab.com/,max.jpg
Mike Grupe,Technician,,mikeg.jpg
Nicole Rockweiler,Graduate Student,https://mccarrolllab.org/people/,nicole.jpg
Priya Sudarsanam,Senior Scientist,,priya.jpg
Robert Zeigler,Graduate Student,,robert.jpg
Ryan Friedman,Graduate Student,https://cole-trapnell-lab.github.io/team/,ryan.jpg
Sara Lichtarge,Undergraduate Student,,sara.jpg
Shoshana Goldberg,Summer Student,,shoshanna.jpg
Siqi Zhao,Graduate Student,,siqi.jpg
