name,role,url,photo
Barak Cohen,Alvin Goldfarb Distinguished Professor of Computational Biology,http://genetics.wustl.edu/staff-members/barak-cohen/,barak.jpg
Mike White,Associate Professor,http://genetics.wustl.edu/mwhite/,mikew.jpg
Yuning Zhang,Postdoctoral Fellow,,yuning.jpg
Yawei Wu,Graduate Student,https://dbbs.wustl.edu/people/yawei-wu/,yawei.jpg
Emma Bartley-Dier,Graduate Student,https://dbbs.wustl.edu/people/emma-bartley-dier/,emma.jpg
Jiayu Huang,Masters Student,,jiayu.jpg
Jie Li,Technician,,jie.jpg
Michael Wilkinson,Technician,,michael.jpg
Daniel Lyon,Postbaccalaureate Student,,daniel.jpg
Zara Shariff,Undergraduate Student,,zara.jpg
